experiment_id,git_commit,git_dirty,model,revision,precision,method,context,batch_micro,grad_accum,rank,seed,steps_requested,steps_completed,status,exit_code,signal,wall_time_s,step_time_avg_s,step_time_median_s,throughput_tok_s,peak_metal_gpu_memory_bytes,peak_process_memory_bytes,swap_before_bytes,swap_after_bytes,training_loss_final,dataset,manifest_verified,evidence_quality,formal_or_probe,raw_result_path
20260907T040127366397Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a07a07-3346-7299-a88e-5b27ca4db995,0916e932638b,True,Qwen/Qwen3-4B,null,bf16,lora,512,1,1,8,42,20,20,success,0,null,17.902,0.396512,0.338998,48.9267,8356484293,null,1843721667,7664104899,2.016996,exp0-synthetic-smoke,True,medium,probe,results/raw/20260907T040127366397Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a07a07-3346-7299-a88e-5b27ca4db995
20260907T040620496121Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a07a0b-ac50-747e-9d35-b06afa67336c,613209ec7a1c,False,Qwen/Qwen3-4B,1cfa9a7208912126459214e8b04321603b3df60c,bf16,lora,512,1,1,8,42,20,20,success,0,null,18.803,0.422199,0.334632,45.9499,8356435141,null,7118656635,7348221379,2.016996,exp0-synthetic-smoke,True,high,probe,results/raw/20260907T040620496121Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a07a0b-ac50-747e-9d35-b06afa67336c
20260907T072718449994Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07ac3-a9b2-7e63-aee6-c2ce5f44e305,9c2a6bc2a928,False,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,42,20,20,success,0,null,9.093,0.253523,0.225255,76.5215,2565876416,null,4375246275,4375246275,1.799151,exp0-synthetic-smoke,True,high,probe,results/raw/20260907T072718449994Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07ac3-a9b2-7e63-aee6-c2ce5f44e305
20260907T080508682710Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a07ae6-4dca-722d-b073-f4b3153e03d0,77d993786f73,False,Qwen/Qwen3-4B,1cfa9a7208912126459214e8b04321603b3df60c,bf16,lora,512,1,1,8,42,20,20,success,0,null,22.897,0.582959,0.337163,33.2785,8356156613,null,4274582979,7920680960,2.016996,exp0-synthetic-smoke,True,high,probe,results/raw/20260907T080508682710Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a07ae6-4dca-722d-b073-f4b3153e03d0
20260907T080735708838Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07ae8-8c1c-72cb-a2fb-351e0e6545a5,77d993786f73,False,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,42,20,20,success,0,null,8.91,0.218531,0.219285,88.7745,2565941952,null,6971394621,6954617405,1.799151,exp0-synthetic-smoke,True,high,probe,results/raw/20260907T080735708838Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07ae8-8c1c-72cb-a2fb-351e0e6545a5
20260907T090653918143Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07b1e-d75e-7f92-88af-6222d8638cbf,94e95ea32960,False,mlx-community/Qwen3-8B-4bit,545dc4251c05440727734bcd94334791f6ab0192,4bit,qlora,512,1,1,8,42,20,20,success,0,null,14.665,0.419168,0.38902,46.2822,4980042880,null,2816800195,2808411587,2.0998,exp0-synthetic-smoke,True,high,probe,results/raw/20260907T090653918143Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07b1e-d75e-7f92-88af-6222d8638cbf
20260907T095600405930Z__mlx-community-qwen3-14b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07b4b-cd16-7c6e-b3d7-69566ded52b8,448effafaea9,False,mlx-community/Qwen3-14B-4bit,a4d9b2df59d2c150bef02fcbe0d91046b7ca33a4,4bit,qlora,512,1,1,8,42,20,20,success,0,null,26.478,0.880672,0.678771,22.0286,8789481623,null,2707748291,4235198464,2.373995,exp0-synthetic-smoke,True,high,probe,results/raw/20260907T095600405930Z__mlx-community-qwen3-14b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07b4b-cd16-7c6e-b3d7-69566ded52b8
20260907T110003248768Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s42__01a07b86-7030-7992-b5e9-e44c9960eb61,9405f9876044,False,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,2048,1,1,8,42,20,20,success,0,null,1100.572,53.903941,53.186817,31.5719,23191479038,null,3396012605,4911330755,0.164742,exp0-synthetic-long-ctx2048,True,high,probe,results/raw/20260907T110003248768Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s42__01a07b86-7030-7992-b5e9-e44c9960eb61
20260907T111824441175Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx8192__b1-ga1__r8__s42__01a07b97-3db9-7873-b5b6-49cb74b618a0,9405f9876044,False,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,8192,1,1,8,42,20,null,runtime_error,null,SIGKILL,87.279,null,null,null,null,null,4869387715,25527257661,null,exp0-synthetic-long-ctx8192,True,medium,probe,results/raw/20260907T111824441175Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx8192__b1-ga1__r8__s42__01a07b97-3db9-7873-b5b6-49cb74b618a0
20260911T164322546359Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx4096__b1-ga1__r8__s42__01a0915a-3232-7ce9-b2d0-3d9d674f7467,f0ba44d8aa81,False,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,4096,1,1,8,42,20,null,runtime_error,137,null,61.698,null,null,null,null,null,4981260288,19599856763,null,exp0-synthetic-long-ctx4096,True,medium,probe,results/raw/20260911T164322546359Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx4096__b1-ga1__r8__s42__01a0915a-3232-7ce9-b2d0-3d9d674f7467
20260911T174043530559Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0918e-b38b-7093-b4d6-b6cab6007e33,abb56a882425,True,mlx-community/Qwen3-0.6B-4bit,73e3e38d981303bc594367cd910ea6eb48349da8,4bit,qlora,512,1,1,8,123,100,100,success,0,null,101.793,0.691651,0.694768,723.3039,2281962152,null,6271470141,10093854720,2.580323,formal_sft_v1,True,medium,probe,results/raw/20260911T174043530559Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0918e-b38b-7093-b4d6-b6cab6007e33
20260911T174225806700Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a09190-430f-705c-9ebd-086dbc4c3c70,abb56a882425,True,mlx-community/Qwen3-0.6B-4bit,73e3e38d981303bc594367cd910ea6eb48349da8,4bit,qlora,512,1,1,8,2026,100,100,success,0,null,100.376,0.684997,0.694814,730.33,2281962152,null,7331580477,9189594235,2.574444,formal_sft_v1,True,medium,probe,results/raw/20260911T174225806700Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a09190-430f-705c-9ebd-086dbc4c3c70
20260911T174406709536Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09191-cd35-735e-a573-46588bffb459,abb56a882425,True,mlx-community/Qwen3-0.6B-4bit,73e3e38d981303bc594367cd910ea6eb48349da8,4bit,qlora,512,1,1,8,42,100,100,success,0,null,101.7,0.688579,0.695927,726.5304,2281962152,null,9181205627,9522244485,2.575155,formal_sft_v1,True,medium,probe,results/raw/20260911T174406709536Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09191-cd35-735e-a573-46588bffb459
20260911T174548789351Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a09193-5bf5-76f0-869d-ebaec63efb60,abb56a882425,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,123,100,100,success,0,null,166.048,1.223409,1.084022,408.9176,6192147784,null,9479651328,10000070083,4.846283,formal_sft_v1,True,medium,probe,results/raw/20260911T174548789351Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a09193-5bf5-76f0-869d-ebaec63efb60
20260911T174835359930Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a09195-e6a0-7c81-819d-8b71c55af8a8,abb56a882425,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,2026,100,100,success,0,null,172.122,1.267099,1.082707,394.8183,6192147784,null,7264136069,10543830139,4.789053,formal_sft_v1,True,medium,probe,results/raw/20260911T174835359930Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a09195-e6a0-7c81-819d-8b71c55af8a8
20260911T175128465640Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a09198-8ad2-7a31-a618-0cebffcd2689,7185916e4b36,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,42,100,100,success,0,null,153.355,1.124711,1.081021,444.8021,6192147784,null,7080970813,9861332992,4.81581,formal_sft_v1,True,medium,probe,results/raw/20260911T175128465640Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a09198-8ad2-7a31-a618-0cebffcd2689
20260911T175402744998Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a0919a-e57a-76d4-8914-17b78e960632,7185916e4b36,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,123,100,100,success,0,null,94.984,0.617979,0.620819,809.5317,3138615976,null,7134574019,10118171197,2.481353,formal_sft_v1,True,medium,probe,results/raw/20260911T175402744998Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a0919a-e57a-76d4-8914-17b78e960632
20260911T175538628879Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a0919c-5c05-7e04-8816-e6a306369b0e,7185916e4b36,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,2026,100,100,success,0,null,94.581,0.615873,0.619336,812.3001,3138615976,null,7128618107,8871078789,2.484535,formal_sft_v1,True,medium,probe,results/raw/20260911T175538628879Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a0919c-5c05-7e04-8816-e6a306369b0e
20260911T175713700410Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a0919d-cf64-73a5-bc8b-2add02361d07,7185916e4b36,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,100,100,success,0,null,94.464,0.62419,0.628091,801.4766,3138615976,null,8845986365,9042195907,2.49835,formal_sft_v1,True,medium,probe,results/raw/20260911T175713700410Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a0919d-cf64-73a5-bc8b-2add02361d07
20260911T175848555242Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0919f-41eb-789b-bb90-24db6dc9ee32,7185916e4b36,True,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,4bit,qlora,512,1,1,8,123,100,100,success,0,null,244.643,1.676616,1.704314,298.383,3538698920,null,9042195907,10683741635,2.289776,formal_sft_v1,True,medium,probe,results/raw/20260911T175848555242Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0919f-41eb-789b-bb90-24db6dc9ee32
20260911T180253848519Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a091a3-0019-7912-8f8f-bd0e081a5ee0,7185916e4b36,True,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,4bit,qlora,512,1,1,8,2026,100,100,success,0,null,242.054,1.671882,1.697289,299.2278,3538698920,null,6886197821,9011724288,2.287225,formal_sft_v1,True,medium,probe,results/raw/20260911T180253848519Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a091a3-0019-7912-8f8f-bd0e081a5ee0
20260911T180656788047Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a091a6-b514-7ed5-ae8c-ed1581c445db,7185916e4b36,True,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,4bit,qlora,512,1,1,8,42,100,100,success,0,null,239.101,1.672883,1.70107,299.0489,3538698920,null,8978169856,11160843715,2.308437,formal_sft_v1,True,medium,probe,results/raw/20260911T180656788047Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a091a6-b514-7ed5-ae8c-ed1581c445db
20260911T181056825253Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a091aa-5eb9-7495-8274-d66b5c95af43,7185916e4b36,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,123,100,100,success,0,null,223.776,1.374929,1.399011,363.8541,5955038594,null,6920475771,8959882691,2.19572,formal_sft_v1,True,medium,probe,results/raw/20260911T181056825253Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a091aa-5eb9-7495-8274-d66b5c95af43
20260911T181441578192Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a091ad-ccaa-738f-a5cd-23181c5aaf2d,7185916e4b36,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,2026,100,100,success,0,null,223.621,1.372126,1.398988,364.5974,5955038594,null,8926265344,11325669376,2.192371,formal_sft_v1,True,medium,probe,results/raw/20260911T181441578192Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a091ad-ccaa-738f-a5cd-23181c5aaf2d
20260911T181826006931Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091b1-3957-71f6-ab9b-33d47af0d11c,7185916e4b36,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,42,100,100,success,0,null,231.861,1.374297,1.397049,364.0216,5955038594,null,7089548165,11070802493,2.207944,formal_sft_v1,True,medium,probe,results/raw/20260911T181826006931Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091b1-3957-71f6-ab9b-33d47af0d11c
20260911T182218892057Z__mlx-community-qwen3-14b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a091b4-c70c-70ea-bbb3-ffead92bbfd9,7185916e4b36,True,mlx-community/Qwen3-14B-4bit,null,4bit,qlora,512,1,1,8,123,100,null,unknown_failure,null,null,1439.248,null,null,null,null,null,7131952579,10128258499,null,formal_sft_v1,True,medium,probe,results/raw/20260911T182218892057Z__mlx-community-qwen3-14b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a091b4-c70c-70ea-bbb3-ffead92bbfd9
20260911T185709437448Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s42__01a091d4-ad3d-7cd4-b0fa-ab39a44822bc,36d173647a24,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,4,42,20,20,success,0,null,227.949,3.452859,3.554271,141.5574,6612148628,null,6293291008,9520346563,1.826107,formal_sft_v1,True,medium,probe,results/raw/20260911T185709437448Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s42__01a091d4-ad3d-7cd4-b0fa-ab39a44822bc
20260911T190157931498Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s123__01a091d9-142b-7ad4-8c1e-537e7c4f0dc3,36d173647a24,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,4,123,20,20,success,0,null,234.312,3.559565,3.657502,137.3139,6612148628,null,9025292861,8386573763,1.818967,formal_sft_v1,True,medium,probe,results/raw/20260911T190157931498Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s123__01a091d9-142b-7ad4-8c1e-537e7c4f0dc3
20260911T190553096465Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a091dc-aac8-7e24-b09b-9f415576628c,36d173647a24,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,1,1,4,2026,20,null,user_interrupted,null,null,15.411,null,null,null,null,null,8302687683,8109749699,null,formal_sft_v1,True,medium,probe,results/raw/20260911T190553096465Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a091dc-aac8-7e24-b09b-9f415576628c
20260911T190640114112Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a091dd-6272-739a-8f67-866c40dee85c,68736982a5e5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,42,100,100,success,0,null,179.759,1.348539,1.080172,370.9746,6192147784,null,8001222083,10033949573,4.790493,formal_sft_v1,True,medium,probe,results/raw/20260911T190640114112Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a091dd-6272-739a-8f67-866c40dee85c
20260911T191010372777Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a091e0-97c4-7ba1-b597-4c60eb93b5da,68736982a5e5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,123,100,100,success,0,null,151.193,1.092861,1.079157,457.7653,6192147784,null,6954942464,10073669632,4.788774,formal_sft_v1,True,medium,probe,results/raw/20260911T191010372777Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a091e0-97c4-7ba1-b597-4c60eb93b5da
20260911T191312326772Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a091e3-5e87-729c-bf2f-7f576b9a45fe,68736982a5e5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,2026,100,100,success,0,null,154.926,1.094716,1.084387,456.9894,6192147784,null,6935082435,10455351296,4.982082,formal_sft_v1,True,medium,probe,results/raw/20260911T191312326772Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a091e3-5e87-729c-bf2f-7f576b9a45fe
20260911T191618034713Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091e6-33f2-75a6-ad51-1f8974b65e97,68736982a5e5,True,Qwen/Qwen3-0.6B,null,null,lora,512,1,1,8,42,100,null,user_interrupted,null,null,57.658,null,null,null,null,null,6936068096,9414702531,null,formal_sft_v1,False,low,probe,results/raw/20260911T191618034713Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091e6-33f2-75a6-ad51-1f8974b65e97
20260911T191829636336Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a091e8-3604-758f-b852-beb59029cb9b,2b54a3bb07b4,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,42,100,100,success,0,null,153.619,1.098056,1.080662,455.5995,6192147784,null,6585843712,9679929344,4.949702,formal_sft_v1,True,medium,probe,results/raw/20260911T191829636336Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a091e8-3604-758f-b852-beb59029cb9b
20260911T192133823714Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a091eb-057f-7cfc-9064-6b21d84cee80,2b54a3bb07b4,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,123,100,100,success,0,null,155.053,1.113979,1.081016,449.087,6192147784,null,6961957437,10048042435,7.442997,formal_sft_v1,True,medium,probe,results/raw/20260911T192133823714Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a091eb-057f-7cfc-9064-6b21d84cee80
